Nombre,Apellido,DNI,Email,ID Plan Membresía
Lucas,Navarro,32165498,lucas.navarro@example.com,2
Carolina,Vega,21436587,carolina.vega@example.com,1
Federico,Silva,19874563,federico.silva@example.com,3
Julieta,Ponce,30987654,julieta.ponce@example.com,2
Matías,Correa,28765431,matias.correa@example.com,1
Natalia,Ibarra,33449876,natalia.ibarra@example.com,3
Ezequiel,Méndez,24567891,ezequiel.mendez@example.com,2
Romina,Cabrera,35678912,romina.cabrera@example.com,1
Gonzalo,Ríos,26789123,gonzalo.rios@example.com,2
Milagros,Flores,17892345,milagros.flores@example.com,3
Bruno,Luna,28913456,bruno.luna@example.com,1
Antonella,Peralta,39124567,antonella.peralta@example.com,2
Franco,Sosa,40235678,franco.sosa@example.com,3
Daniela,Quiroga,51346789,daniela.quiroga@example.com,1
Ignacio,Ojeda,62457890,ignacio.ojeda@example.com,2
Victoria,Benítez,73568901,victoria.benitez@example.com,2
Leandro,Farias,84679012,leandro.farias@example.com,3
Macarena,Paz,95780123,macarena.paz@example.com,1
