Nombre,Apellido,DNI,Email,ID Plan Membresía
Juan,Pérez,12345678,juan.perez@example.com,1
María,García,23456789,maria.garcia@example.com,1
Carlos,López,34567890,carlos.lopez@example.com,2
Ana,Martínez,45678901,ana.martinez@example.com,2
Pedro,Sánchez,56789012,pedro.sanchez@example.com,1
Lucía,Rodríguez,67890123,lucia.rodriguez@example.com,2
Martín,Fernández,78901234,martin.fernandez@example.com,3
Laura,González,89012345,laura.gonzalez@example.com,1
Diego,Hernández,90123456,diego.hernandez@example.com,2
Sofía,Ramírez,11223344,sofia.ramirez@example.com,3
Nicolás,Torres,22334455,nicolas.torres@example.com,1
Valentina,Díaz,33445566,valentina.diaz@example.com,2
Tomás,Romero,44556677,tomas.romero@example.com,3
Camila,Molina,55667788,camila.molina@example.com,1
Sebastián,Acosta,66778899,sebastian.acosta@example.com,2
Florencia,Suárez,77889900,florencia.suarez@example.com,2
Agustín,Ruiz,88990011,agustin.ruiz@example.com,3
Paula,Álvarez,99001122,paula.alvarez@example.com,1
